Title,Description,Date,URL
RFK Jr.’s Faulty Advice On Bird Flu,"In recent news appearances, Department of Health and Human Services Secretary Robert F. Kennedy Jr. has suggested allowing bird flu to spread in poultry flocks unchecked. Scientists say that’s risky because it gives the virus more opportunities to replicate, increasing the chance it could change to spread easily among humans.","March 28, 2025",https://www.factcheck.org/2025/03/rfk-jr-s-faulty-advice-on-bird-flu/
Posts Make Unsupported Claims About Origin of Texas Measles Outbreak,"The measles vaccine uses a weakened virus that’s never been shown to spread to others. Samples from the outbreak in Texas also show that a wild-type virus is responsible. Yet, social media posts have falsely claimed that the outbreak is due to a vaccine strain. Without evidence, other posts have blamed immigrants crossing the southern border illegally.","March 27, 2025",https://www.factcheck.org/2025/03/posts-make-unsupported-claims-about-origin-of-texas-measles-outbreak/
Was the Signal Chat Illegal?,"As fallout from a Trump administration group chat about a military attack in Yemen continues to unfold, some Democrats are saying the inadvertent inclusion of a journalist in the chat goes beyond incompetence — they say it was criminal.","March 27, 2025",https://www.factcheck.org/2025/03/was-the-signal-chat-illegal/
Q&A on Egg Prices,"President Donald Trump campaigned in 2024 on lowering egg prices, which increased significantly toward the end of the term of his predecessor, former President Joe Biden. Where do prices stand now? What caused them to spike last year? We answer those questions and more.","March 25, 2025",https://www.factcheck.org/2025/03/qa-on-egg-prices/
Viral Posts Share Phony ‘Leaked’ Audio of Vance Criticizing Musk,Vice President JD Vance has said White House adviser Elon Musk has made “mistakes” in his work with the Department of Government Efficiency. But social media posts are sharing what experts said is a manipulated audio clip that purports to be Vance making much harsher remarks about Musk. The vice president’s spokesperson called the clip “100% fake.”,"March 25, 2025",https://www.factcheck.org/2025/03/viral-posts-share-phony-leaked-audio-of-vance-criticizing-musk/
RFK Jr. Misleads About Measles Vaccine in Hannity Interview,"In an interview with Fox News’ Sean Hannity, Health and Human Services Secretary Robert F. Kennedy Jr. made several unsupported or misleading claims about the measles vaccine, which the Centers for Disease Control and Prevention has said is safe and “the most important tool to prevent” the disease. Meanwhile, a measles outbreak in Texas continues to expand.","March 21, 2025",https://www.factcheck.org/2025/03/rfk-jr-misleads-about-measles-vaccine-in-hannity-interview/
Trump’s Baseless Autopen Claim,Legal experts say there is nothing to President Donald Trump’s claims that several of former President Joe Biden’s pardons are “VOID” because they were signed via autopen.,"March 21, 2025",https://www.factcheck.org/2025/03/trumps-baseless-autopen-claim/
Posts Fabricate Claims About Trump’s Response to Duterte’s Arrest,"In 2017, President Donald Trump expressed admiration for Philippine President Rodrigo Duterte’s deadly war on drug suspects. But social media posts have falsely claimed that Trump has ordered Duterte’s release from the International Criminal Court, where he faces charges of crimes against humanity. We could find no response from Trump regarding Duterte’s arrest.","March 20, 2025",https://www.factcheck.org/2025/03/posts-fabricate-claims-about-trumps-response-to-dutertes-arrest/
Trump Misleads on Jobs,"Following the release of the latest jobs report on March 7, President Donald Trump suggested that his administration — which has been in office since Jan. 20 — is responsible for significant job growth. The growth in February was steady, but to support his claims, Trump made several misleading statements about the economy he inherited.","March 18, 2025",https://www.factcheck.org/2025/03/trump-misleads-on-jobs/
The Facts Behind the Delayed Return of U.S. Astronauts,The return of astronauts Suni Williams and Butch Wilmore after an extended stay on the International Space Station has been the subject of competing claims about the actions of the Trump and Biden administrations in bringing them home.,"March 18, 2025",https://www.factcheck.org/2025/03/the-facts-behind-the-delayed-return-of-u-s-astronauts/
"Measles Is Harmful, Contrary to Flimsy Social Media Claims of Long-Term Benefits","Measles is an extremely contagious vaccine-preventable disease that can lead to death or disability. It also wipes out immune memory for several years after an infection. As an outbreak in Texas continues to expand, social media posts have claimed without sufficient support that measles infections are beneficial later in life against cancer and other diseases, an idea health secretary Robert F. Kennedy Jr. has echoed.","March 14, 2025",https://www.factcheck.org/2025/03/measles-is-harmful-contrary-to-flimsy-social-media-claims-of-long-term-benefits/
"Study Focused on Feminine Hygiene Products, Not Transgender Men","The Department of Agriculture announced the cancellation of a $600,000 grant to study the development of feminine hygiene products made of natural fibers. The USDA, Department of Government Efficiency and social media posts misleadingly claimed the study was of “menstrual cycles in transgender men.” The university behind the study said it was focused on making safer products to “benefit all biological women.”","March 14, 2025",https://www.factcheck.org/2025/03/study-focused-on-feminine-hygiene-products-not-transgender-men/
"Full-Time Employment Increased Under Biden, Contrary to Rick Scott’s Claim","As we reported in January, President Donald Trump inherited a resilient economy experiencing continued growth in jobs, including an increase in full-time workers. But Republican Sen. Rick Scott recently painted a much different picture, calling the pre-Trump economy “crappy” and falsely claiming that full-time employment was “dropping almost the entire Biden administration.”","March 13, 2025",https://www.factcheck.org/2025/03/full-time-employment-increased-under-biden-contrary-to-rick-scotts-claim/
Both Sides Spin Who Would Benefit from Extending Trump Tax Cuts,"With the Republican-controlled Congress moving forward with President Donald Trump’s call to extend the 2017 individual tax cuts, Democrats and Republicans are spinning the facts about who would benefit. Several Democrats have framed the tax cuts as exclusively benefiting billionaires, while Trump has suggested everyone in America would see a tax cut.","March 12, 2025",https://www.factcheck.org/2025/03/both-sides-spin-who-would-benefit-from-extending-trump-tax-cuts/
Trump’s Flawed Claim that Tariffs Made the U.S. Its ‘Richest’,"In arguing for more tariffs on goods imported to the United States, President Donald Trump has repeatedly claimed that the U.S. was its “richest” or “wealthiest” during the late 1800s and early 1900s because of tariffs. In multiple ways, his claim is wrong or misleading.","March 11, 2025",https://www.factcheck.org/2025/03/trumps-flawed-claim-that-tariffs-made-the-u-s-its-richest/
"RFK Jr. Misleads on Vitamin A, Unsupported Therapies for Measles","In the midst of a growing measles outbreak in Texas that has killed one child, Health and Human Services Secretary Robert F. Kennedy Jr. has misleadingly focused on vitamin A, including from cod liver oil, and two non-standard medications as treatments for measles.","March 7, 2025",https://www.factcheck.org/2025/03/rfk-jr-misleads-on-vitamin-a-unsupported-therapies-for-measles/
"White Nationalist Group Is Still Active, Contrary to Social Media Claims","Social media posts, some pointing to comments by podcaster Joe Rogan, are spreading unsupported claims that members of the Patriot Front are federal agents and that the group disbanded after the recent leadership change at the FBI. But days after Kash Patel was confirmed as FBI director, the Patriot Front had two public rallies, and its website refutes the claims.","March 7, 2025",https://www.factcheck.org/2025/03/white-nationalist-group-is-still-active-contrary-to-social-media-claims/
Video: FactChecking Trump’s Address to Congress,"Here’s our fact-check of President Donald Trump’s address to a joint session of Congress, in video form.","March 5, 2025",https://www.factcheck.org/2025/03/video-factchecking-trumps-address-to-congress/
FactChecking Trump’s Address to Congress,"In his first address to a joint session of Congress in his second term, President Donald Trump distorted the facts on fraud, immigration, aid to Ukraine, the economy, autism and more.","March 5, 2025",https://www.factcheck.org/2025/03/factchecking-trumps-address-to-congress-2/
"Trump Exaggerates on U.S. and European Aid to Ukraine, Loans","As President Donald Trump has sought to secure rights to Ukraine’s minerals as compensation for U.S. aid to fight the Russian invasion, he has repeatedly overstated the amount of aid provided by the U.S. compared with Europe and exaggerated the extent to which European assistance – unlike U.S. aid — is in the form of guaranteed loans.","March 4, 2025",https://www.factcheck.org/2025/03/trump-exaggerates-on-u-s-and-european-aid-to-ukraine-loans/
The War of Words Over Medicaid Cuts,"Democrats and Republicans are accusing one another of “lying” about what a House Republican budget resolution means for Medicaid, and both sides have made misleading or speculative comments. There’s little doubt the health care program would face cuts under the plan — and it would have to if Medicare cuts are off limits.","March 3, 2025",https://www.factcheck.org/2025/03/the-war-of-words-over-medicaid-cuts/
Posts Spread False Claim About DOGE Halting Supposed Obamacare ‘Royalties’,"Elon Musk and the Department of Government Efficiency have been tasked by President Donald Trump with slashing federal spending. But social media posts falsely claim that as part of that effort, DOGE stopped “royalties” to former President Barack Obama related to the Affordable Care Act, known as Obamacare. The claim came from a satirical website.","February 28, 2025",https://www.factcheck.org/2025/02/posts-spread-false-claim-about-doge-halting-supposed-obamacare-royalties/
Will SAVE Act Prevent Married Women from Registering to Vote?,Q: Is it true that under the SAVE Act married women will not be able to register to vote if their married name doesn’t match their birth certificate?,"February 28, 2025",https://www.factcheck.org/2025/02/will-save-act-prevent-married-women-from-registering-to-vote/
RFK Jr. Minimizes Measles Outbreak in Texas,"Robert F. Kennedy Jr., head of the Department of Health and Human Services, downplayed the seriousness of an ongoing measles outbreak in Texas, falsely claiming that people had been hospitalized “mainly for quarantine” and misleadingly stating that the situation is “not unusual.” The Texas outbreak is already larger than any single outbreak last year and has led to the first measles death in the U.S. since 2015.","February 27, 2025",https://www.factcheck.org/2025/02/rfk-jr-minimizes-measles-outbreak-in-texas/
"Posts Share Bogus Audio of Donald Trump Jr. Supporting Arms for Russia, Not Ukraine",A fake audio clip of Donald Trump Jr. saying that the U.S. should have sent weapons to Russia instead of Ukraine was shared across social media. Deepfake experts said the audio was apparently generated using artificial intelligence. A spokesperson for Trump Jr. said the audio clip is “100% fake.”,"February 27, 2025",https://www.factcheck.org/2025/02/posts-share-bogus-audio-of-donald-trump-jr-supporting-arms-for-russia-not-ukraine/
Online Posts Misconstrue Data on Social Security Numbers,"Elon Musk shared a chart on X purportedly showing more than 398 million eligible numbers in the Social Security database. Online posts misconstrued the figures to wrongly claim they showed how many people are receiving benefits, which would exceed the U.S. population. The Social Security Administration reported more than 68.4 million recipients in 2024.","February 27, 2025",https://www.factcheck.org/2025/02/online-posts-misconstrue-data-on-social-security-numbers/
FactChecking RFK Jr.’s First Interview as HHS Secretary,"In Robert F. Kennedy Jr.’s first interview as secretary of the Department of Health and Human Services, he made multiple incorrect or misleading statements, including about seed oils, an abortion drug and the notion that the U.S. has the “sickest population in the world.”","February 21, 2025",https://www.factcheck.org/2025/02/factchecking-rfk-jr-s-first-interview-as-hhs-secretary/
